method,type,parameter,parameter_description
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,char,char)",char,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,char,char).newValue ", the new value of the property (as a char)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,short,short)",String,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,short,short).propertyName ", the programmatic name of the property that was changed
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,short,short)",short,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,short,short).oldValue ", the old value of the property (as a short)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,short,short)",short,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,short,short).newValue ", the old value of the property (as a short)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,long,long)",String,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,long,long).propertyName ", the programmatic name of the property that was changed
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,long,long)",long,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,long,long).oldValue ", the old value of the property (as a long)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,long,long)",long,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,long,long).newValue ", the new value of the property (as a long)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,float,float)",String,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,float,float).propertyName ", the programmatic name of the property that was changed
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,float,float)",float,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,float,float).oldValue ", the old value of the property (as a float)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,float,float)",float,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,float,float).newValue ", the new value of the property (as a float)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,double,double)",String,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,double,double).propertyName ", the programmatic name of the property that was changed
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,double,double)",double,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,double,double).oldValue ", the old value of the property (as a double)
"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,double,double)",double,"javax.swing.tree.DefaultTreeCellRenderer.firePropertyChange(String,double,double).newValue ", the new value of the property (as a double)
"javax.swing.tree.DefaultTreeModel.getIndexOfChild(Object,Object)",Object,"javax.swing.tree.DefaultTreeModel.getIndexOfChild(Object,Object).parent "," a note in the tree, obtained from this data source"
"javax.swing.tree.DefaultTreeModel.getIndexOfChild(Object,Object)",Object,"javax.swing.tree.DefaultTreeModel.getIndexOfChild(Object,Object).child ", the node we are interested in
"javax.swing.tree.DefaultTreeModel.getChild(Object,int)",Object,"javax.swing.tree.DefaultTreeModel.getChild(Object,int).parent "," a node in the tree, obtained from this data source"
javax.swing.tree.DefaultTreeModel.getChildCount(Object),Object,javax.swing.tree.DefaultTreeModel.getChildCount(Object).parent ," a node in the tree, obtained from this data source"
javax.swing.tree.DefaultTreeModel.isLeaf(Object),Object,javax.swing.tree.DefaultTreeModel.isLeaf(Object).node , the node to check
"javax.swing.tree.DefaultTreeModel.getPathToRoot(TreeNode,int)",TreeNode,"javax.swing.tree.DefaultTreeModel.getPathToRoot(TreeNode,int).aNode ", the TreeNode to get the path for
"javax.swing.tree.DefaultTreeModel.getPathToRoot(TreeNode,int)",int,"javax.swing.tree.DefaultTreeModel.getPathToRoot(TreeNode,int).depth "," an int giving the number of steps already taken towards the root (on recursive calls), used to size the returned array"
javax.swing.tree.DefaultTreeModel.addTreeModelListener(TreeModelListener),TreeModelListener,javax.swing.tree.DefaultTreeModel.addTreeModelListener(TreeModelListener).l , the listener to add
javax.swing.tree.DefaultTreeModel.removeTreeModelListener(TreeModelListener),TreeModelListener,javax.swing.tree.DefaultTreeModel.removeTreeModelListener(TreeModelListener).l , the listener to remove
javax.swing.tree.DefaultTreeModel.getListeners(Class&lt;T&gt;),Class&lt;T&gt;,javax.swing.tree.DefaultTreeModel.getListeners(Class&lt;T&gt;).listenerType , the type of listeners requested; this parameter should specify an interface that descends from java.util.EventListener
javax.swing.tree.DefaultTreeSelectionModel.getListeners(Class&lt;T&gt;),Class&lt;T&gt;,javax.swing.tree.DefaultTreeSelectionModel.getListeners(Class&lt;T&gt;).listenerType , the type of listeners requested; this parameter should specify an interface that descends from java.util.EventListener
javax.swing.tree.FixedHeightLayoutCache.setRootVisible(boolean),boolean,javax.swing.tree.FixedHeightLayoutCache.setRootVisible(boolean).rootVisible , true if the root node of the tree is to be displayed
"javax.swing.tree.FixedHeightLayoutCache.getBounds(TreePath,Rectangle)",TreePath,"javax.swing.tree.FixedHeightLayoutCache.getBounds(TreePath,Rectangle).path ", a TreePath specifying a node
"javax.swing.tree.FixedHeightLayoutCache.getBounds(TreePath,Rectangle)",Rectangle,"javax.swing.tree.FixedHeightLayoutCache.getBounds(TreePath,Rectangle).placeIn ", a Rectangle object giving the available space
javax.swing.tree.FixedHeightLayoutCache.getPathForRow(int),int,javax.swing.tree.FixedHeightLayoutCache.getPathForRow(int).row , the row being queried
javax.swing.tree.FixedHeightLayoutCache.getRowForPath(TreePath),TreePath,javax.swing.tree.FixedHeightLayoutCache.getRowForPath(TreePath).path , the TreePath being queried
"javax.swing.tree.FixedHeightLayoutCache.getPathClosestTo(int,int)",int,"javax.swing.tree.FixedHeightLayoutCache.getPathClosestTo(int,int).x ", the horizontal component of the desired location
"javax.swing.tree.FixedHeightLayoutCache.getPathClosestTo(int,int)",int,"javax.swing.tree.FixedHeightLayoutCache.getPathClosestTo(int,int).y ", the vertical component of the desired location
javax.swing.tree.FixedHeightLayoutCache.getVisibleChildCount(TreePath),TreePath,javax.swing.tree.FixedHeightLayoutCache.getVisibleChildCount(TreePath).path , the path being queried
javax.swing.tree.FixedHeightLayoutCache.getVisiblePathsFrom(TreePath),TreePath,javax.swing.tree.FixedHeightLayoutCache.getVisiblePathsFrom(TreePath).path , the starting location for the enumeration
javax.swing.tree.FixedHeightLayoutCache.getExpandedState(TreePath),TreePath,javax.swing.tree.FixedHeightLayoutCache.getExpandedState(TreePath).path , the path being queried
javax.swing.tree.TreePath.getPathComponent(int),int,javax.swing.tree.TreePath.getPathComponent(int).index , the index of the element requested
javax.swing.tree.TreePath.equals(Object),Object,javax.swing.tree.TreePath.equals(Object).o , the object to compare
javax.swing.tree.TreePath.isDescendant(TreePath),TreePath,javax.swing.tree.TreePath.isDescendant(TreePath).aTreePath , the TreePath to check
javax.swing.tree.TreePath.pathByAddingChild(Object),Object,javax.swing.tree.TreePath.pathByAddingChild(Object).child , the path element to add
javax.swing.tree.VariableHeightLayoutCache.setRootVisible(boolean),boolean,javax.swing.tree.VariableHeightLayoutCache.setRootVisible(boolean).rootVisible , true if the root node of the tree is to be displayed
javax.swing.tree.VariableHeightLayoutCache.getExpandedState(TreePath),TreePath,javax.swing.tree.VariableHeightLayoutCache.getExpandedState(TreePath).path , the path being queried
"javax.swing.tree.VariableHeightLayoutCache.getBounds(TreePath,Rectangle)",TreePath,"javax.swing.tree.VariableHeightLayoutCache.getBounds(TreePath,Rectangle).path ", the path to be drawn
"javax.swing.tree.VariableHeightLayoutCache.getBounds(TreePath,Rectangle)",Rectangle,"javax.swing.tree.VariableHeightLayoutCache.getBounds(TreePath,Rectangle).placeIn ", the bounds of the enclosing rectangle
javax.swing.tree.VariableHeightLayoutCache.getPathForRow(int),int,javax.swing.tree.VariableHeightLayoutCache.getPathForRow(int).row , the location of interest
javax.swing.tree.VariableHeightLayoutCache.getRowForPath(TreePath),TreePath,javax.swing.tree.VariableHeightLayoutCache.getRowForPath(TreePath).path , the TreePath of interest
javax.swing.tree.VariableHeightLayoutCache.getPreferredWidth(Rectangle),Rectangle,javax.swing.tree.VariableHeightLayoutCache.getPreferredWidth(Rectangle).bounds , the region being queried
"javax.swing.tree.VariableHeightLayoutCache.getPathClosestTo(int,int)",int,"javax.swing.tree.VariableHeightLayoutCache.getPathClosestTo(int,int).x ", the x
"javax.swing.tree.VariableHeightLayoutCache.getPathClosestTo(int,int)",int,"javax.swing.tree.VariableHeightLayoutCache.getPathClosestTo(int,int).y ", the y
javax.swing.tree.VariableHeightLayoutCache.getVisiblePathsFrom(TreePath),TreePath,javax.swing.tree.VariableHeightLayoutCache.getVisiblePathsFrom(TreePath).path , the location in the TreePath to start
javax.swing.tree.VariableHeightLayoutCache.getVisibleChildCount(TreePath),TreePath,javax.swing.tree.VariableHeightLayoutCache.getVisibleChildCount(TreePath).path , the path being queried
javax.swing.undo.AbstractUndoableEdit.addEdit(UndoableEdit),UndoableEdit,javax.swing.undo.AbstractUndoableEdit.addEdit(UndoableEdit).anEdit , the edit to be added
javax.swing.undo.AbstractUndoableEdit.replaceEdit(UndoableEdit),UndoableEdit,javax.swing.undo.AbstractUndoableEdit.replaceEdit(UndoableEdit).anEdit , the edit to replace
javax.swing.undo.CompoundEdit.addEdit(UndoableEdit),UndoableEdit,javax.swing.undo.CompoundEdit.addEdit(UndoableEdit).anEdit , the edit to be added
javax.swing.undo.UndoableEditSupport.addUndoableEditListener(UndoableEditListener),UndoableEditListener,javax.swing.undo.UndoableEditSupport.addUndoableEditListener(UndoableEditListener).l , an UndoableEditListener object
javax.swing.undo.UndoableEditSupport.removeUndoableEditListener(UndoableEditListener),UndoableEditListener,javax.swing.undo.UndoableEditSupport.removeUndoableEditListener(UndoableEditListener).l , the UndoableEditListener object to be removed
javax.swing.undo.UndoManager.setLimit(int),int,javax.swing.undo.UndoManager.setLimit(int).l , the new limit
javax.swing.undo.UndoManager.addEdit(UndoableEdit),UndoableEdit,javax.swing.undo.UndoManager.addEdit(UndoableEdit).anEdit , the edit to be added
javax.swing.undo.UndoManager.undoableEditHappened(UndoableEditEvent),UndoableEditEvent,javax.swing.undo.UndoManager.undoableEditHappened(UndoableEditEvent).e , the UndoableEditEvent the UndoableEditEvent will be added from
javax.tools.ForwardingFileObject.openReader(boolean),boolean,javax.tools.ForwardingFileObject.openReader(boolean).ignoreEncodingErrors , ignore encoding errors if true
javax.tools.ForwardingFileObject.getCharContent(boolean),boolean,javax.tools.ForwardingFileObject.getCharContent(boolean).ignoreEncodingErrors , ignore encoding errors if true
javax.tools.ForwardingJavaFileManager.getClassLoader(JavaFileManager.Location),JavaFileManager.Location,javax.tools.ForwardingJavaFileManager.getClassLoader(JavaFileManager.Location).location , a location
"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean)",JavaFileManager.Location,"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean).location ", a location
"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean)",String,"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean).packageName ", a package name
"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean)",Set&lt;JavaFileObject.Kind&gt;,"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean).kinds ", return objects only of these kinds
"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean)",boolean,"javax.tools.ForwardingJavaFileManager.list(JavaFileManager.Location,String,Set&lt;JavaFileObject.Kind&gt;,boolean).recurse "," if true include ""subpackages"""
"javax.tools.ForwardingJavaFileManager.inferBinaryName(JavaFileManager.Location,JavaFileObject)",JavaFileManager.Location,"javax.tools.ForwardingJavaFileManager.inferBinaryName(JavaFileManager.Location,JavaFileObject).location ", a location
"javax.tools.ForwardingJavaFileManager.inferBinaryName(JavaFileManager.Location,JavaFileObject)",JavaFileObject,"javax.tools.ForwardingJavaFileManager.inferBinaryName(JavaFileManager.Location,JavaFileObject).file ", a file object
"javax.tools.ForwardingJavaFileManager.isSameFile(FileObject,FileObject)",FileObject,"javax.tools.ForwardingJavaFileManager.isSameFile(FileObject,FileObject).a ", a file object
"javax.tools.ForwardingJavaFileManager.isSameFile(FileObject,FileObject)",FileObject,"javax.tools.ForwardingJavaFileManager.isSameFile(FileObject,FileObject).b ", a file object
"javax.tools.ForwardingJavaFileManager.handleOption(String,Iterator&lt;String&gt;)",String,"javax.tools.ForwardingJavaFileManager.handleOption(String,Iterator&lt;String&gt;).current ", current option
"javax.tools.ForwardingJavaFileManager.handleOption(String,Iterator&lt;String&gt;)",Iterator&lt;String&gt;,"javax.tools.ForwardingJavaFileManager.handleOption(String,Iterator&lt;String&gt;).remaining ", remaining options
javax.tools.ForwardingJavaFileManager.hasLocation(JavaFileManager.Location),JavaFileManager.Location,javax.tools.ForwardingJavaFileManager.hasLocation(JavaFileManager.Location).location , a location
javax.tools.ForwardingJavaFileManager.isSupportedOption(String),String,javax.tools.ForwardingJavaFileManager.isSupportedOption(String).option , an option
"javax.tools.ForwardingJavaFileManager.getJavaFileForInput(JavaFileManager.Location,String,JavaFileObject.Kind)",JavaFileManager.Location,"javax.tools.ForwardingJavaFileManager.getJavaFileForInput(JavaFileManager.Location,String,JavaFileObject.Kind).location ", a location
"javax.tools.ForwardingJavaFileManager.getJavaFileForInput(JavaFileManager.Location,String,JavaFileObject.Kind)",String,"javax.tools.ForwardingJavaFileManager.getJavaFileForInput(JavaFileManager.Location,String,JavaFileObject.Kind).className ", the name of a class
"javax.tools.ForwardingJavaFileManager.getJavaFileForInput(JavaFileManager.Location,String,JavaFileObject.Kind)",JavaFileObject.Kind,"javax.tools.ForwardingJavaFileManager.getJavaFileForInput(JavaFileManager.Location,String,JavaFileObject.Kind).kind "," the kind of file, must be one of SOURCE or CLASS"
